STATE,YEAR,Gain,Property Dispute,Personal Vendetta or Enemity,Love Affairs/ Sexual relations,Dowry,Lunacy,Witchcraft,Communalism,Casteism,Class Conflict,Political Reasons,Terrorists/ Extremists,Other Causes,Total
ANDHRA PRADESH,2001,122,159,332,355,96,7,20,1,1,2,39,120,1348,2602
ARUNACHAL PRADESH,2001,8,2,16,5,0,0,0,0,0,0,0,4,48,83
ASSAM,2001,94,125,83,37,62,1,3,0,1,25,2,111,812,1356
BIHAR,2001,310,888,579,178,288,4,1,0,27,6,47,22,1293,3643
CHHATTISGARH,2001,25,81,129,75,21,21,14,0,1,0,0,57,456,880
GOA,2001,8,0,4,4,0,0,0,0,0,0,0,0,20,36
GUJARAT,2001,89,127,133,152,24,14,2,1,2,0,0,1,681,1226
HARYANA,2001,41,184,134,54,3,0,2,27,0,0,0,0,336,781
HIMACHAL PRADESH,2001,4,16,15,11,1,0,0,0,0,0,0,0,72,119
JAMMU & KASHMIR,2001,0,23,18,4,1,0,1,0,0,1,0,958,69,1075
JHARKHAND,2001,84,141,160,69,31,1,21,0,13,8,4,38,937,1507
KARNATAKA,2001,66,91,140,143,33,0,0,3,1,0,7,0,1142,1626
KERALA,2001,27,14,188,5,1,6,0,0,0,0,16,0,215,472
MADHYA PRADESH,2001,86,240,440,149,67,5,13,7,0,1,9,1,1407,2425
MAHARASHTRA,2001,96,150,228,338,112,9,6,4,2,43,4,10,1837,2839
MANIPUR,2001,8,0,0,0,0,0,0,0,0,0,0,129,72,209
MEGHALAYA,2001,11,8,7,2,0,1,0,0,0,0,0,13,122,164
MIZORAM,2001,3,0,9,3,0,0,0,0,0,0,0,0,16,31
NAGALAND,2001,0,1,1,0,0,0,0,5,0,0,4,4,86,101
ODISHA,2001,37,49,145,51,133,0,30,0,0,0,17,2,523,987
PUNJAB,2001,33,72,57,82,13,0,0,0,0,2,0,0,479,738
RAJASTHAN,2001,76,80,110,43,36,1,0,0,0,0,0,0,913,1259
SIKKIM,2001,3,0,5,2,0,0,0,0,0,0,0,0,9,19
TAMIL NADU,2001,79,132,443,194,3,0,0,0,2,0,4,0,805,1662
TRIPURA,2001,7,12,35,6,14,0,0,0,0,0,0,82,84,240
UTTAR PRADESH,2001,289,496,1207,424,0,1,0,7,0,0,0,0,5177,7601
UTTARAKHAND,2001,2,23,19,18,0,0,0,0,0,0,0,0,254,316
WEST BENGAL,2001,16,29,158,39,9,0,13,0,0,0,21,1,1308,1594
TOTAL (STATES),2001,1624,3143,4795,2443,948,71,126,55,50,88,174,1553,20521,35591
A & N ISLANDS,2001,1,1,4,0,0,0,0,0,0,0,0,0,7,13
CHANDIGARH,2001,0,2,2,0,0,0,0,0,0,0,0,0,11,15
D & N HAVELI,2001,0,0,0,1,0,0,0,0,0,0,0,0,2,3
DAMAN & DIU,2001,1,1,0,1,0,0,0,0,0,0,0,0,4,7
DELHI,2001,36,56,56,67,20,3,0,0,0,0,0,2,307,547
LAKSHADWEEP,2001,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PUDUCHERRY,2001,2,0,13,0,0,0,0,0,0,0,0,0,10,25
TOTAL (UTs),2001,40,60,75,69,20,3,0,0,0,0,0,2,342,611
TOTAL (ALL-INDIA),2001,1664,3203,4870,2512,968,74,126,55,50,88,174,1555,20863,36202
ANDHRA PRADESH,2002,102,178,277,400,91,2,23,1,4,2,26,64,1355,2525
ARUNACHAL PRADESH,2002,3,1,6,2,0,0,0,0,0,0,0,0,49,61
