RecordID,ClubName,League/Country,BootsName,BootsMaterial,BootsBrand,BootsPack,BootsType,BootsPosition,BootsTopPlayers,PlayerName,PlayerPosition,PlayerNationality,PlayerMarketValue,,,,
1679742361-8,VfL Wolfsburg,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Jakub Kaminski,Left Winger,Poland,€10 million,,,,
1679742361-9,VfL Wolfsburg,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Dzenan Pejcinovic,Center Forward,Germany,€1 million,,,,
1679742361-12,VfL Wolfsburg,Bundesliga,F50 Adizero,Synthetic,adidas,null,Speed,Attack,Jordi Alba,Lukas Nmecha,Center Forward,Germany,€18 million,,,,
1679742361-17,VfL Wolfsburg,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Yannick Gerhardt,Central Midfielder,Germany,€6 million,,,,
1679742361-18,VfL Wolfsburg,Bundesliga,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Josuha Guilavogui,Defensive Midfielder,France,€3 million,,,,
1679742361-22,VfL Wolfsburg,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Nicolas Cozza,Left Back,France,€5 million,,,,
1679742361-23,VfL Wolfsburg,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Paulo Otávio,Left Back,Brazil,€7 million,,,,
1679742361-26,VfL Wolfsburg,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Sebastiaan Bornauw,Center Back,Belgium,€9 million,,,,
1679742361-28,VfL Wolfsburg,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Ridle Baku,Right Back,Germany,€13 million,,,,
1679742361-29,VfL Wolfsburg,Bundesliga,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Philipp Schulze,Goalkeeper,Germany,€0 million,,,,
1679742361-34,Union Berlin,Bundesliga,X Speedflow.1,Synthetic,adidas,Sapphire Edge,Speed,Attack,Lionel Messi,Kevin Behrens,Center Forward,Germany,€1 million,,,,
1679742361-38,Union Berlin,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Jordan,Center Forward,United States,€10 million,,,,
1679742361-40,Union Berlin,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Aïssa Laïdouni,Central Midfielder,Tunisia,€4 million,,,,
1679742361-42,Union Berlin,Bundesliga,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Rani Khedira,Defensive Midfielder,Germany,€8 million,,,,
1679742361-49,Union Berlin,Bundesliga,Copa Pure+,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Christopher Trimmel,Right Back,Austria,€1 million,,,,
1679742361-51,Union Berlin,Bundesliga,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Timo Baumgartl,Center Back,Germany,€5 million,,,,
1679742361-55,Union Berlin,Bundesliga,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Paul Jaeckel,Center Back,Germany,€8 million,,,,
1679742361-56,Union Berlin,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Josip Juranovic,Right Back,Croatia,€9 million,,,,
1679742361-57,Union Berlin,Bundesliga,Predator Accuracy.1,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Lennart Grill,Goalkeeper,Germany,€1 million,,,,
1679742361-58,Union Berlin,Bundesliga,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Frederik Rönnow,Goalkeeper,Denmark,€4 million,,,,
1679742361-59,Union Berlin,Bundesliga,Copa Sense.1,K-Leather,adidas,null,Control,Midfield,Paulo Dybala,Jakob Busk,Goalkeeper,Denmark,€0 million,,,,
1679742361-63,VfB Stuttgart,Bundesliga,X Ghosted.1,Synthetic,adidas,null,Speed,null,Lionel Messi,Luca Pfeiffer,Center Forward,Germany,€3 million,,,,
1679742361-64,VfB Stuttgart,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Serhou Guirassy,Center Forward,Guinea,€10 million,,,,
1679742361-67,VfB Stuttgart,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Juan José Perea,Center Forward,Colombia,€2 million,,,,
1679742361-69,VfB Stuttgart,Bundesliga,X Speedflow+,null,adidas,Sapphire Edge,Speed,null,Lionel Messi,Silas,Right Winger,Congo Dr,€13 million,,,,
1679742361-73,VfB Stuttgart,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Enzo Millot,Central Midfielder,France,€3 million,,,,
1679742361-74,VfB Stuttgart,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Lilian Egloff,Attacking Midfielder,Germany,€2 million,,,,
1679742361-75,VfB Stuttgart,Bundesliga,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Genki Haraguchi,Attacking Midfielder,Japan,€2 million,,,,
1679742361-77,VfB Stuttgart,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Atakan Karazor,Defensive Midfielder,Germany,€5 million,,,,
1679742361-80,VfB Stuttgart,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Josha Vagnoman,Right Back,Germany,€4 million,,,,
