,company_name,rating,company_reviews,company_age,number_of_employees
0,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
1,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
2,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
3,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
4,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
5,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
6,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
7,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
8,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
9,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
10,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
11,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
12,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
13,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
14,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
15,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
16,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
17,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
18,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
19,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
20,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
21,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
22,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
23,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
24,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
25,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
26,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
27,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
28,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
29,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
30,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
31,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
32,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
33,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
34,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
35,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
36,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
37,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
38,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
39,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
40,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
41,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
42,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
43,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
44,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
45,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
46,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
47,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
48,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
49,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
50,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
51,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
52,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
53,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
54,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
55,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
56,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
57,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
58,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
59,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
60,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
61,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
62,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
63,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
64,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
65,HCLTech,3.8,(19.8k Reviews),32 years old,1 Lakh+ Employees (India)
66,TCS,3.9,(54.2k Reviews),55 years old,1 Lakh+ Employees (India)
67,Accenture,4.1,(34.4k Reviews),34 years old,1 Lakh+ Employees (India)
68,Cognizant,3.9,(31.6k Reviews),29 years old,1 Lakh+ Employees (India)
69,ICICI Bank,4.0,(35.5k Reviews),29 years old,1 Lakh+ Employees (India)
70,HDFC Bank,4.0,(41.8k Reviews),29 years old,50k-1 Lakh Employees (India)
71,Wipro,3.9,(30.9k Reviews),78 years old,1 Lakh+ Employees (India)
72,Infosys,3.9,(30.1k Reviews),42 years old,1 Lakh+ Employees (India)
73,Capgemini,3.9,(25.5k Reviews),56 years old,1 Lakh+ Employees (India)
74,Tech Mahindra,3.7,(22.9k Reviews),37 years old,50k-1 Lakh Employees (India)
75,Genpact,4.0,(20.6k Reviews),26 years old,50k-1 Lakh Employees (India)
