id,title,short_description,game_url,genre,platform,publisher,developer,release_date,freetogame_profile_url
6,Blade and Soul,A free-to-play martial arts MMORPG that tasks players with learning combination attacks.,https://www.freetogame.com/open/blade-and-soul,MMORPG,PC (Windows),NCSoft,NCSoft,2016-01-19,https://www.freetogame.com/blade-and-soul
8,Trove,A free to play Sandbox massively multiplayer online role-playing game! ,https://www.freetogame.com/open/trove,MMORPG,PC (Windows),Trion Worlds,Trion Worlds,2015-07-09,https://www.freetogame.com/trove
10,ArcheAge,"A free-to-play, hybrid fantasy/sandbox MMORPG brought to you by Trion Worlds.",https://www.freetogame.com/open/archeage,MMORPG,PC (Windows),Kakao Games,XL Games,2014-09-04,https://www.freetogame.com/archeage
11,Neverwinter,A free-to-play 3D action MMORPG based on the acclaimed Dungeons & Dragons fantasy roleplaying game. ,https://www.freetogame.com/open/neverwinter,MMORPG,PC (Windows),Perfect World Entertainment,Cryptic Studios,2013-12-06,https://www.freetogame.com/neverwinter
13,Guild Wars 2,"A free-to-play MMORPG, the follow-up to ArenaNet's popular Guild Wars. ",https://www.freetogame.com/open/guild-wars-2,MMORPG,PC (Windows),NCsoft,ArenaNet,2012-08-28,https://www.freetogame.com/guild-wars-2
16,Roblox,A free to play sandbox MMO with lots of creation options.,https://www.freetogame.com/open/roblox,MMO,PC (Windows),Roblox Corporation,Roblox Corporation,2006-12-22,https://www.freetogame.com/roblox
62,Kritika: REBOOT,A free-to-play hack-and-slash MMORPG with both a single-player adventure combat from En Masse Entertainment and ALL-M Co. ,https://www.freetogame.com/open/kritika,MMORPG,PC (Windows),ALLM Co.,ALLM Co.,2016-06-08,https://www.freetogame.com/kritika
64,Secret World Legends,A free-to-play reboot of The Secret World. ,https://www.freetogame.com/open/secret-world-legends,MMORPG,PC (Windows),Funcom,Funcom,2017-07-31,https://www.freetogame.com/secret-world-legends
77,Revelation Online,A free-to-play fantasy MMO developed by NetEase and published by My.com. ,https://www.freetogame.com/open/revelation-online,MMORPG,PC (Windows),My.com,NetEase,2017-03-06,https://www.freetogame.com/revelation-online
87,MU Legend,A free-to-play MMORPG developed by Webzen and the followup to MU Online. ,https://www.freetogame.com/open/mu-legend,MMORPG,PC (Windows),VALOFE,VALOFE,2017-03-23,https://www.freetogame.com/mu-legend
89,AdventureQuest 3D,A free to play cross-platform MMORPG from the creators of the original 2D RPG game.,https://www.freetogame.com/open/adventurequest-3d,MMORPG,PC (Windows),Artix Entertainment,Artix Entertainment,2016-10-19,https://www.freetogame.com/adventurequest-3d
106,Riders of Icarus,"A free-to-play action MMORPG featuring mounted, in-air combat. ",https://www.freetogame.com/open/riders-of-icarus,MMORPG,PC (Windows),VALOFE,WeMade,2016-07-06,https://www.freetogame.com/riders-of-icarus
